date,sp,ind
0722*,B+C_B,578
0725,B+C_B,640
0727,B+C_B,610
0730,B+C_B,636
0801,B+C_B,768
0803,B+C_B,568
0806,B+C_B,436
0808,B+C_B,456
0701,B+C_B,50
0704,B+C_B,4
0707,B+C_B,4
0709,B+C_B,14
0711,B+C_B,22
0713,B+C_B,36
0715,B+C_B,76
0717,B+C_B,102
0720,B+C_B,316
0722*,B+C_B,304
0725,B+C_B,282
0727,B+C_B,153.3333333
0730,B+C_B,200
0801,B+C_B,212
0803,B+C_B,184
0806,B+C_B,160
0808,B+C_B,220
0701,B+C_B,50
0704,B+C_B,0
0707,B+C_B,6
0709,B+C_B,2
0711,B+C_B,8
0713,B+C_B,4
0715,B+C_B,60
0717,B+C_B,8
0720,B+C_B,48
0722*,B+C_B,64
0725,B+C_B,62
0727,B+C_B,46.66666667
0730,B+C_B,92
0801,B+C_B,116
0803,B+C_B,188
0806,B+C_B,228
0808,B+C_B,216
