alpha,R1,R2,C,P
0,4.96373493,0.565780325,1.42277598,1.711539221
0.01,4.854903036,0.589173804,1.418768634,1.729600247
0.02,4.857456105,0.608163574,1.417392638,1.703146243
0.03,4.808830092,0.629395903,1.414885475,1.707987066
0.04,4.767661119,0.651041203,1.412285014,1.711016019
0.05,4.733760518,0.672353238,1.410674437,1.687443125
0.06,4.702919759,0.695044054,1.407619788,1.698662728
0.07,4.574187475,0.727492646,1.402541761,1.715929449
0.08,4.56078503,0.748817718,1.40192635,1.674420968
0.09,4.584060486,0.767407517,1.399702992,1.679567314
0.1,4.50965668,0.798039417,1.395539125,1.702576213
0.11,4.398057862,0.836975337,1.389411071,1.720147903
0.12,4.286555849,0.872857342,1.384660202,1.716848442
0.13,4.216907986,0.906479774,1.381361895,1.707909187
0.14,4.164875456,0.939060215,1.3766983,1.697458945
0.15,4.120773481,0.970613858,1.373213115,1.686374825
0.16,4.086516726,0.997687166,1.37045872,1.68637492
0.17,4.042014744,1.031510781,1.365885295,1.698491454
0.18,3.982969434,1.070211577,1.360386376,1.719227121
0.19,3.890481303,1.121577221,1.352270574,1.739426931
0.2,3.771493224,1.174993221,1.344150728,1.751050817
0.21,3.656260283,1.227672364,1.337200738,1.758592383
0.22,3.550739307,1.279175453,1.32999754,1.765353818
0.23,3.461480732,1.331580943,1.322462268,1.773806977
0.24,3.394009554,1.383980541,1.31449867,1.784211324
0.25,3.352031235,1.430354856,1.307990298,1.791658953
0.26,3.266784525,1.470442211,1.303403495,1.780887118
0.27,3.09428848,1.551223109,1.292037103,1.775636218
0.28,2.946054422,1.638861502,1.276851987,1.824085258
0.29,2.968064556,1.670742835,1.271446291,1.835892326
0.3,2.810616781,1.740673437,1.263236754,1.810316617
0.31,2.636416548,1.849584009,1.245981185,1.842353847
0.32,2.580636307,1.914065249,1.234894245,1.878407765
0.33,2.525538766,1.961532209,1.228743706,1.880102513
0.34,2.430208381,2.037017303,1.216789078,1.883960925
0.35,2.327112489,2.116444764,1.204285132,1.894907184
0.36,2.228101606,2.196165325,1.192037405,1.901073722
0.37,2.071810838,2.291532196,1.178133422,1.902287318
0.38,1.940103256,2.394237417,1.16105307,1.920778164
0.39,1.867007953,2.475089979,1.148201005,1.936328207
0.4,1.763579521,2.566638637,1.133080511,1.946622097
0.41,1.677619965,2.666526271,1.116698473,1.966452486
0.42,1.493648287,2.788430861,1.097522108,1.9555633
0.43,1.445198448,2.839163386,1.091273721,1.952593587
0.44,1.407516263,2.934128152,1.0724973,1.995296823
0.45,1.260737769,3.047681871,1.055984679,1.97764827
0.46,1.205338037,3.137874681,1.041049946,1.989939147
0.47,1.12082329,3.238947896,1.023812416,1.993153425
0.48,1.059148059,3.314397744,1.011507268,1.995051206
0.49,0.992409007,3.434886326,0.989410439,2.007916336
0.5,0.952906447,3.51528881,0.975780904,2.013551675
0.51,0.846942027,3.629758574,0.957495871,1.995252829
0.52,0.862164874,3.713213924,0.940215605,2.030700446
0.53,0.829027198,3.801705146,0.924413203,2.037959021
0.54,0.744167799,3.914106124,0.903830028,2.028824484
0.55,0.766412502,3.97538558,0.892396922,2.048460189
0.56,0.740502253,4.056720057,0.877172939,2.051272377
0.57,0.739357906,4.123561173,0.865302188,2.05620295
0.58,0.758714766,4.205352669,0.847234321,2.080400853
0.59,0.739844403,4.30186779,0.826023838,2.092625701
0.6,0.808860471,4.34718147,0.81465725,2.121245954
0.61,0.850630441,4.404150848,0.801312486,2.140484158
0.62,0.909341984,4.444261346,0.791371637,2.157146271
0.63,0.973057651,4.484669442,0.780645629,2.167091324
0.64,1.086534275,4.511359324,0.768245185,2.209655964
0.65,1.158853952,4.542127846,0.75906597,2.20989423
0.66,1.260840517,4.578814098,0.745175266,2.23311359
0.67,1.380507705,4.58369471,0.739349606,2.248330049
0.68,1.503642301,4.589797733,0.734451347,2.248828603
0.69,1.640544798,4.557595753,0.736848938,2.259194649
0.7,1.724825055,4.583130588,0.72860886,2.247033155
0.71,1.863113294,4.549266732,0.73264894,2.241892571
0.72,1.977877955,4.547052342,0.727542553,2.259953559
0.73,2.087938931,4.521667792,0.732194593,2.23434072
0.74,2.191139831,4.513487789,0.731190389,2.218549511
0.75,2.265826362,4.537423725,0.721588291,2.220471881
0.76,2.403653548,4.483289026,0.731078936,2.203992781
0.77,2.478239293,4.498857135,0.72449079,2.193019065
0.78,2.584737621,4.479253605,0.727796468,2.156164399
0.79,2.620182525,4.524321164,0.7163496,2.13821143
0.8,2.777327896,4.446145681,0.731051358,2.117745007
0.81,2.817370983,4.474620269,0.724723041,2.09480687
0.82,2.865604964,4.494012789,0.717972619,2.088635764
0.83,2.892886618,4.527216785,0.711266777,2.075260746
0.84,2.944842459,4.547026916,0.709517233,2.036145647
0.85,3.052313272,4.494120112,0.718199657,2.031943792
0.86,3.038366092,4.563058261,0.70417056,2.03155004
0.87,3.081921155,4.576671829,0.701942725,2.017549619
0.88,3.119193893,4.59456982,0.698662965,2.009656027
0.89,3.112816056,4.657012323,0.685605814,1.998116274
0.9,3.132997037,4.677879165,0.679563228,2.007824704
0.91,3.207382464,4.667936982,0.684812806,1.994613845
0.92,3.202113935,4.73586495,0.67194243,1.964712818
0.93,3.1624663,4.824809835,0.654254259,1.97149748
0.94,3.162602281,4.853673554,0.646076077,1.988807144
0.95,3.212305465,4.855306632,0.646729554,1.992470524
0.96,3.258833232,4.857747812,0.645568598,1.985051953
0.97,3.299704269,4.880328892,0.644271233,1.967847896
0.98,3.314435452,4.935095012,0.63374495,1.952825991
0.99,3.310038125,4.994353482,0.622305898,1.944212943
1,3.306357012,5.047554196,0.611264527,1.939124616
