Plate Name,Experiment Name,Specimen Name,trmt,Workspace Name,Plot Name,Gate Name,X Parameter,Y Parameter,Event Count,% Parent,% Total,Mean X,Mean Y,Median X,Median Y,Std. Dev. X,Std. Dev. Y,% C.V. X,% C.V. Y,Concentration
N/A,IGP_II_20170417,Specimen,Tend_04_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"38,656",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1208.633958
N/A,IGP_II_20170417,Specimen,Tend_04_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"11,514",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,360.0013296
N/A,IGP_II_20170417,Specimen,Tend_04_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1208.633958
N/A,IGP_II_20170417,Specimen,Tend_04_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,302.2835552
N/A,IGP_II_20170417,Specimen,Tend_04_4,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"32,793",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,699.62684
N/A,IGP_II_20170417,Specimen,Tend_04_4,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"12,987",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,318.4236
N/A,IGP_II_20170417,Specimen,Tend_04_4,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,699.62684
N/A,IGP_II_20170417,Specimen,Tend_04_4,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,278.22982
N/A,IGP_II_20170417,Specimen,Tend_04_5,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"46,689",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,960.39273
N/A,IGP_II_20170417,Specimen,Tend_04_5,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"13,536",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,278.43552
N/A,IGP_II_20170417,Specimen,Tend_04_5,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,960.39273
N/A,IGP_II_20170417,Specimen,Tend_04_5,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,237.87148
N/A,IGP_II_20170417,Specimen,Tend_06_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"65,991",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,871.0812
N/A,IGP_II_20170417,Specimen,Tend_06_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"20,761",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,274.0452
N/A,IGP_II_20170417,Specimen,Tend_06_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,871.0812
N/A,IGP_II_20170417,Specimen,Tend_06_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,239.514
N/A,IGP_II_20170417,Specimen,Tend_06_2,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1609.756097
N/A,IGP_II_20170417,Specimen,Tend_06_2,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"17,316",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,278.7453662
N/A,IGP_II_20170417,Specimen,Tend_06_2,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1609.756097
N/A,IGP_II_20170417,Specimen,Tend_06_2,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,237.7770727
N/A,IGP_II_20170417,Specimen,Tend_06_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2538.461538
N/A,IGP_II_20170417,Specimen,Tend_06_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"16,236",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,412.1446151
N/A,IGP_II_20170417,Specimen,Tend_06_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2538.461538
N/A,IGP_II_20170417,Specimen,Tend_06_3,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,343.1746151
N/A,IGP_II_20170417,Specimen,Tend_08_1,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,897.08
N/A,IGP_II_20170417,Specimen,Tend_08_1,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"19,728",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,612.7
N/A,IGP_II_20170417,Specimen,Tend_08_1,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,897.08
N/A,IGP_II_20170417,Specimen,Tend_08_1,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,577.23
N/A,IGP_II_20170417,Specimen,Tend_08_3,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1382.051282
N/A,IGP_II_20170417,Specimen,Tend_08_3,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"29,300",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,700.717949
N/A,IGP_II_20170417,Specimen,Tend_08_3,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,1382.051282
N/A,IGP_II_20170417,Specimen,Tend_08_3,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,651.705128
N/A,IGP_II_20170417,Specimen,Tend_08_4,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,861.1807228
N/A,IGP_II_20170417,Specimen,Tend_08_4,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"20,182",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,508.2477107
N/A,IGP_II_20170417,Specimen,Tend_08_4,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,861.1807228
N/A,IGP_II_20170417,Specimen,Tend_08_4,OSCAR_exp,BL1-H vs BL1-A,R1,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,476.1860242
N/A,IGP_II_20170417,Specimen,Tend_08_5,OSCAR_exp,BL1-A vs BL3-A,All Events,BL1-A,BL3-A,"100,000",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2039.02439
N/A,IGP_II_20170417,Specimen,Tend_08_5,OSCAR_exp,BL1-A vs BL3-A,culture population,BL1-A,BL3-A,"28,178",Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,489.243902
N/A,IGP_II_20170417,Specimen,Tend_08_5,OSCAR_exp,BL1-H vs BL1-A,All Events,BL1-H,BL1-A,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,Disabled,2039.02439
